region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,mean_runoff
ERK,05AD903,38.2,49.17363311746805,-113.8779936426022,-1151.24,2.54431,0.52,0.17,0.21,0.01,0.08,0.0,0.0,0.0,0.01,0.52,0.17,0.21,0.01,0.08,0.0,0.0,0.0,0.01,0.01,0.78,0.19,0.01,0.01,0.0,0.0,0.0,0.0,6.4871821,63.69820258366776,1438.3611,1467.5565,2035.7739,1327.2544,1467.5565,850.1,-1.8,9.5,611.3,138.3,286.0,4.6,0.7,1.0,0.1,0.41501904756160196
ERK,05AD904,20.1,49.14099689457194,-113.9134498865698,-1545.43,10.96212,0.43,0.21,0.34,0.01,0.01,0.0,0.0,0.0,0.0,0.43,0.21,0.34,0.01,0.01,0.0,0.0,0.0,0.0,0.04,0.31,0.62,0.02,0.02,0.0,0.0,0.0,-0.01,19.163534,85.78317370554232,1689.3904,1711.7211,2382.1499,1315.5492,1711.7211,1047.3,-2.4,7.9,591.8,227.9,294.5,4.4,0.7,1.0,0.0,0.9829884015406838
ERK,05AD934,3572.8,49.26132264164715,-113.65120807126272,-1233.19,2.84685,0.2,0.11,0.24,0.02,0.4,0.01,0.01,0.0,0.0099999999999998,0.2,0.12,0.24,0.01,0.4,0.01,0.02,0.0,0.0,0.13,0.27,0.29,0.02,0.26,0.01,0.02,0.0,0.0,8.3983994,26.410510824658285,1273.0995,1384.3794,3187.4797,897.00714,1384.3794,774.9,-1.7,10.1,591.9,146.6,288.9,5.3,0.7,1.0,0.1,0.6745288732528468
ERK,05AE005,222.8,49.01289426050205,-113.15759283350728,-1257.9,8.61983,0.02,0.18,0.45,0.03,0.29,0.01,0.01,0.0,0.01,0.02,0.19,0.45,0.03,0.29,0.01,0.01,0.0,0.0,0.02,0.23,0.44,0.03,0.25,0.01,0.01,0.0,0.01,3.667989,326.0478320366368,1304.7065,1319.9355,1628.3105,1182.9978,1319.9355,527.5,-1.6,11.1,579.5,62.9,292.8,6.4,0.8,1.0,0.1,0.13561046483332695
ERK,05AE011,416.5,49.24705276282548,-112.87405259901504,-1054.6,0.0,0.0,0.32,0.31,0.01,0.34,0.01,0.02,0.0,-0.01,0.0,0.35,0.28,0.01,0.34,0.01,0.02,0.0,-0.01,0.0,0.44,0.23,0.01,0.29,0.01,0.02,0.0,0.0,2.4067745,345.70391401267415,1207.7642,1205.7635,1408.2815,991.09796,1205.7635,460.6,-1.6,11.6,565.4,45.4,291.5,6.7,0.8,1.0,0.1,0.5091630128180304
ERK,05AE039,39.2,49.05290174733575,-113.59433659154668,-1052.0,0.0,0.52,0.22,0.18,0.01,0.05,0.0,0.01,0.0,0.01,0.52,0.22,0.18,0.01,0.05,0.0,0.02,0.0,0.0,0.3,0.62,0.06,0.0,0.0,0.0,0.02,0.0,0.0,5.3101544,36.90697182985342,1486.5795,1515.5295,1833.328,1367.9382,1515.5295,814.7,-2.0,9.6,602.4,144.4,293.6,5.1,0.7,1.0,0.1,0.5565605996768209
ERK,05AE040,37.5,-113.5610477234403,48.96794556489447,-1489.4,17.99502,0.81,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.83,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,8.3755541,19.64412618045628,1622.3477,1677.4143,2765.7893,1422.1565,1677.4143,936.1,-2.5,8.7,585.3,204.3,296.6,5.2,0.7,1.0,0.1,0.668884202764977
ERK,05BA001,427.1,51.58627312017082,-116.35234538795105,-1325.31,11.08678,0.42,0.03,0.35,0.01,0.01,0.02,0.04,0.13,-0.01,0.41,0.03,0.39,0.01,0.01,0.02,0.04,0.09,0.0,0.42,0.03,0.4,0.01,0.01,0.02,0.04,0.07,0.0,17.650345,158.11363322123262,2201.6201,2198.8594,3330.2544,1559.8314,2198.8594,917.1,-7.2,3.1,411.5,406.1,300.9,3.4,0.6,1.0,0.0,1.9923011095349044
ERK,05BA006,122.3,51.33714880719459,-115.87098982826345,-1463.67,16.71297,0.41,0.04,0.51,0.01,0.01,0.01,0.01,0.01,-0.01,0.41,0.04,0.52,0.01,0.01,0.0,0.0,0.0,0.01,0.42,0.05,0.5,0.01,0.01,0.0,0.0,0.0,0.01,23.587873,192.67999389274223,2254.7046,2250.7917,3042.6309,1439.3683,2250.7917,782.6,-7.6,3.1,402.4,303.6,304.0,4.0,0.6,1.0,0.0,2.436441932116478
ERK,05BA008,281.2,51.63495032038842,-116.38397265397076,-1444.26,15.9059,0.3,0.03,0.43,0.01,0.01,0.02,0.05,0.16,-0.01,0.29,0.03,0.48,0.01,0.01,0.02,0.05,0.11,0.0,0.31,0.03,0.48,0.01,0.01,0.02,0.05,0.09,0.0,18.658106,200.8029841677276,2316.2063,2299.6396,3330.2544,1758.6945,2299.6396,958.8,-7.7,2.5,400.2,450.8,304.4,3.4,0.6,1.0,0.0,4.1976495204882305
ERK,05BB001,2210.6,51.360226690748,-116.010565941938,-1396.81,13.9932,0.51,0.04,0.35,0.01,0.01,0.01,0.02,0.05,0.0,0.5,0.04,0.38,0.01,0.01,0.01,0.02,0.03,0.0,0.49,0.04,0.39,0.01,0.01,0.01,0.01,0.02,0.02,19.712914,96.65234899679024,2165.0117,2140.7241,3491.4385,1399.4758,2140.7241,807.9,-7.0,3.8,419.4,310.2,296.6,3.8,0.6,1.0,0.0,1.5098327138973966
ERK,05BB003,133.3,51.26565933701068,-115.67466927609186,-1520.0,19.0,0.51,0.04,0.42,0.01,0.01,0.0,0.0,0.0,0.01,0.51,0.04,0.43,0.01,0.01,0.0,0.0,0.0,0.0,0.48,0.05,0.44,0.01,0.01,0.0,0.0,0.0,0.01,23.679604,151.47100071693836,2192.2229,2187.5613,2948.4685,1501.4667,2187.5613,759.3,-7.3,3.8,414.0,255.5,298.6,4.1,0.7,1.0,0.1,2.2137850591680177
